trace_file,num_sets,num_blocks,num_bytes,write_allocate,write_through,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_cycles,hit_rate,total_cache_size_bytes
gcc.trace,256,4,4,write-allocate,write-back,lru,318197,197486,310247,7950,168688,28798,7187283,0.9287,4096
gcc.trace,256,4,8,write-allocate,write-back,lru,318197,197486,312586,5611,179374,18112,9015083,0.9540,8192
gcc.trace,256,4,16,write-allocate,write-back,lru,318197,197486,314798,3399,188250,9236,9344483,0.9755,16384
gcc.trace,256,4,32,write-allocate,write-back,lru,318197,197486,316126,2071,192823,4663,9543683,0.9869,32768
gcc.trace,256,4,64,write-allocate,write-back,lru,318197,197486,316955,1242,195056,2430,9707683,0.9929,65536
swim.trace,256,4,4,write-allocate,write-back,lru,220668,82525,214159,6509,60907,21618,5304493,0.9072,4096
swim.trace,256,4,8,write-allocate,write-back,lru,220668,82525,218561,2107,63800,18725,8156593,0.9313,8192
swim.trace,256,4,16,write-allocate,write-back,lru,220668,82525,219507,1161,71956,10569,9009593,0.9613,16384
swim.trace,256,4,32,write-allocate,write-back,lru,220668,82525,219966,702,76691,5834,9602393,0.9784,32768
swim.trace,256,4,64,write-allocate,write-back,lru,220668,82525,220217,451,79454,3071,9591193,0.9884,65536
gcc.trace,1024,1,16,write-allocate,write-back,lru,318197,197486,312238,5959,187502,9984,11127283,0.9691,16384
gcc.trace,512,2,16,write-allocate,write-back,lru,318197,197486,314453,3744,188124,9362,9588883,0.9746,16384
gcc.trace,256,4,16,write-allocate,write-back,lru,318197,197486,314798,3399,188250,9236,9344483,0.9755,16384
gcc.trace,128,8,16,write-allocate,write-back,lru,318197,197486,314908,3289,188278,9208,9277683,0.9758,16384
gcc.trace,64,16,16,write-allocate,write-back,lru,318197,197486,314944,3253,188276,9210,9266883,0.9758,16384
gcc.trace,1,1024,16,write-allocate,write-back,lru,318197,197486,314973,3224,188300,9186,9226883,0.9759,16384
swim.trace,1024,1,16,write-allocate,write-back,lru,220668,82525,217735,2933,71538,10987,10171593,0.9541,16384
swim.trace,512,2,16,write-allocate,write-back,lru,220668,82525,219414,1254,71905,10620,9099193,0.9608,16384
swim.trace,256,4,16,write-allocate,write-back,lru,220668,82525,219507,1161,71956,10569,9009593,0.9613,16384
swim.trace,128,8,16,write-allocate,write-back,lru,220668,82525,219540,1128,71954,10571,8991593,0.9614,16384
swim.trace,64,16,16,write-allocate,write-back,lru,220668,82525,219556,1112,71965,10560,8976793,0.9615,16384
swim.trace,1,1024,16,write-allocate,write-back,lru,220668,82525,219570,1098,71969,10556,8965993,0.9616,16384
gcc.trace,64,4,16,write-allocate,write-back,lru,318197,197486,312099,6098,187526,9960,11414883,0.9689,4096
gcc.trace,128,4,16,write-allocate,write-back,lru,318197,197486,314007,4190,188015,9471,10071683,0.9735,8192
gcc.trace,256,4,16,write-allocate,write-back,lru,318197,197486,314798,3399,188250,9236,9344483,0.9755,16384
gcc.trace,512,4,16,write-allocate,write-back,lru,318197,197486,315211,2986,188468,9018,8607683,0.9767,32768
gcc.trace,1024,4,16,write-allocate,write-back,lru,318197,197486,315505,2692,188561,8925,7620883,0.9775,65536
swim.trace,64,4,16,write-allocate,write-back,lru,220668,82525,214923,5745,71353,11172,11733193,0.9442,4096
swim.trace,128,4,16,write-allocate,write-back,lru,220668,82525,218920,1748,71854,10671,9549993,0.9590,8192
swim.trace,256,4,16,write-allocate,write-back,lru,220668,82525,219507,1161,71956,10569,9009593,0.9613,16384
swim.trace,512,4,16,write-allocate,write-back,lru,220668,82525,219604,1064,71993,10532,8521593,0.9618,32768
swim.trace,1024,4,16,write-allocate,write-back,lru,220668,82525,219643,1025,72019,10506,7744393,0.9620,65536
gcc.trace,256,4,16,write-allocate,write-back,lru,318197,197486,314798,3399,188250,9236,9344483,0.9755,16384
gcc.trace,256,4,16,write-allocate,write-through,lru,318197,197486,314798,3399,188250,9236,25318283,0.9755,16384
gcc.trace,256,4,16,no-write-allocate,write-through,lru,318197,197486,311613,6584,164819,32667,22897883,0.9239,16384
swim.trace,256,4,16,write-allocate,write-back,lru,220668,82525,219507,1161,71956,10569,9009593,0.9613,16384
swim.trace,256,4,16,write-allocate,write-through,lru,220668,82525,219507,1161,71956,10569,13247693,0.9613,16384
swim.trace,256,4,16,no-write-allocate,write-through,lru,220668,82525,218072,2596,58030,24495,9594093,0.9106,16384
gcc.trace,256,4,16,write-allocate,write-back,lru,318197,197486,314798,3399,188250,9236,9344483,0.9755,16384
gcc.trace,256,4,16,write-allocate,write-back,fifo,318197,197486,314171,4026,188047,9439,9845283,0.9739,16384
swim.trace,256,4,16,write-allocate,write-back,lru,220668,82525,219507,1161,71956,10569,9009593,0.9613,16384
swim.trace,256,4,16,write-allocate,write-back,fifo,220668,82525,218357,2311,71787,10738,9655593,0.9570,16384
